Station,Depth,Species,Colony_Number,Frag_ID,Tag_ID,Timepoint,Date,Photo,Mortality_%,Notes
529D,Deep,PRUS,97,97_6,P_048,0,9/19/2024,Y,25,
529D,Deep,PRUS,1107,1107_22,P_060,0,9/19/2024,N,100,DEAD
529D,Deep,PRUS,79,79_13,P_047,0,9/19/2024,Y,0,
529D,Deep,PRUS,87,87_92,P_025,0,9/19/2024,Y,25,
529D,Deep,PRUS,86,86_16,P_033,0,9/19/2024,N,MISSING,MISSING
529D,Deep,PRUS,78,78_20,P_032,0,9/19/2024,Y,25,
529D,Deep,PRUS,77,77_15,P_095,0,9/19/2024,N,MISSING,MISSING
530D,Deep,PCOM,1110,1110_7,G_007,0,9/19/2024,Y,0,
530D,Deep,PCOM,98,98_13,G_032,0,9/19/2024,Y,0,
530D,Deep,PCOM,1105,1105_1,G_022,0,9/19/2024,Y,0,
530D,Deep,PCOM,1112,1112_21,G_024,0,9/19/2024,N,MISSING,MISSING
530D,Deep,PCOM,1149,1149_6,G_034,0,9/19/2024,Y,0,
530D,Deep,PCOM,1108,1108_4,G_061,0,9/19/2024,Y,0,
530D,Deep,PCOM,997,997_12,G_010,0,9/19/2024,Y,0,
530D,Deep,PCOM,39,39_8,G_004,0,9/19/2024,Y,25,
530D,Deep,PRUS,69,69_22,P_073,0,9/19/2024,Y,0,
530D,Deep,PRUS,1107,1107_1,P_098,0,9/19/2024,Y,0,
530D,Deep,PRUS,74,74_23,P_080,0,9/19/2024,Y,25,
530D,Deep,PRUS,86,86_6,P_054,0,9/19/2024,N,MISSING,MISSING
530D,Deep,PRUS,87,87_13,P_011,0,9/19/2024,Y,25,
530D,Deep,PRUS,97,97_24,P_014,0,9/19/2024,N,100,DEAD
530D,Deep,PRUS,68,68_13,P_051,0,9/19/2024,Y,50,
530D,Deep,PRUS,78,78_12,P_001,0,9/19/2024,Y,25,
530D,Deep,PRUS,77,77_20,P_070,0,9/19/2024,Y,50,
531S,Shallow,PCOM,997,997_22,B_005,0,9/12/2024,Y,0,
531S,Shallow,PCOM,1110,1110_17,B_098,0,9/12/2024,Y,25,
531S,Shallow,PCOM,1113,1113_8,B_020,0,9/12/2024,Y,25,
531S,Shallow,PCOM,1109,1109_14,B_082,0,9/12/2024,N,MISSING,MISSING
531S,Shallow,PCOM,1000,1000_7,B_013,0,9/12/2024,Y,0,
531S,Shallow,PCOM,1113,1113_23,B_045,0,9/12/2024,Y,50,
531S,Shallow,PCOM,98,98_19,B_029,0,9/12/2024,N,MISSING,MISSING
531S,Shallow,PCOM,1108,1108_5,B_007,0,9/12/2024,Y,0,
